K_s,custo_total,dC_dK_s,MV_K_s
0,78343265.706656,-75014.81435168654,75014.81435168654
50,74592524.98907167,-75014.8143516864,75014.8143516864
100,70841784.27148736,-75014.81435168654,75014.81435168654
150,67091043.55390301,-72037.78556857268,72037.78556857268
250,60036116.43620145,-48767.37103174931,48767.37103174931
400,54899200.79596569,-34246.10426823844,34246.10426823844
