K_r,custo_total,dC_dK_r,MV_K_r
0,77420055.28468558,-82228.38766497784,82228.38766497784
40,74130919.77808647,-82228.38766497784,82228.38766497784
80,70841784.27148736,-82228.3876649782,82228.3876649782
120,67552648.76488821,-82228.38766497833,82228.38766497833
200,60974377.751689956,-82228.3876649782,82228.3876649782
320,51106971.23189257,-82228.3876649782,82228.3876649782
