cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
SWEEP pi_c=0,24,100.0,80.0,150.0,200.0,1.0,10000.0,0,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP pi_c=5,24,100.0,80.0,150.0,200.0,1.0,10000.0,5,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP pi_c=10,24,100.0,80.0,150.0,200.0,1.0,10000.0,10,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP pi_c=20,24,100.0,80.0,150.0,200.0,1.0,10000.0,20,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP pi_c=50,24,100.0,80.0,150.0,200.0,1.0,10000.0,50,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP pi_c=100,24,100.0,80.0,150.0,200.0,1.0,10000.0,100,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
