cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
SWEEP K_s=0,24,0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,42,78343265.706656,7735.326570665599,0.0,9999.999998137355,10000.0,1.0,0.0,0.0
SWEEP K_s=50,24,50,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,42,74592524.98907167,7360.252498907166,0.0,10000.0,10000.0,1.0,0.0,0.0
SWEEP K_s=100,24,100,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP K_s=150,24,150,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,42,67091043.55390301,6610.104355390302,0.0,10000.0,10000.0,1.0,0.0,0.0
SWEEP K_s=250,24,250,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,42,60036116.43620145,5906.177221614133,0.0,8791.82418746253,10000.0,0.875,0.125,0.0
SWEEP K_s=400,24,400,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,42,54899200.79596569,5409.319168481994,36.15748674792604,7132.565596451362,10000.0,0.7083333333333334,0.16666666666666666,0.125
