cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
SWEEP K_r=0,24,100.0,0,150.0,200.0,1.0,10000.0,10.0,0.0,42,77420055.28468558,7643.0055284685595,0.0,10000.0,10000.0,1.0,0.0,0.0
SWEEP K_r=40,24,100.0,40,150.0,200.0,1.0,10000.0,10.0,0.0,42,74130919.77808647,7314.091977808647,0.0,10000.0,10000.0,1.0,0.0,0.0
SWEEP K_r=80,24,100.0,80,150.0,200.0,1.0,10000.0,10.0,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP K_r=120,24,100.0,120,150.0,200.0,1.0,10000.0,10.0,0.0,42,67552648.76488821,6656.264876488821,0.0,10000.0,10000.0,1.0,0.0,0.0
SWEEP K_r=200,24,100.0,200,150.0,200.0,1.0,10000.0,10.0,0.0,42,60974377.751689956,5998.437775168995,0.0,10000.0,10000.0,1.0,0.0,0.0
SWEEP K_r=320,24,100.0,320,150.0,200.0,1.0,10000.0,10.0,0.0,42,51106971.23189257,5011.697123189258,0.0,10000.0,10000.0,1.0,0.0,0.0
