cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
Sweep K_n=50,24,100.0,80.0,50,200.0,1.0,10000.0,10.0,0.0,42,94121784.27148736,9385.178427148734,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
Sweep K_n=100,24,100.0,80.0,100,200.0,1.0,10000.0,10.0,0.0,42,82451784.27148736,8185.178427148734,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
Sweep K_n=150,24,100.0,80.0,150,200.0,1.0,10000.0,10.0,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
Sweep K_n=250,24,100.0,80.0,250,200.0,1.0,10000.0,10.0,0.0,42,47801784.27148734,4585.178427148734,0.0,10000.0,10000.0,1.0,0.0,0.0
Sweep K_n=400,24,100.0,80.0,400,200.0,1.0,10000.0,10.0,0.0,42,20832653.12907492,1740.8875878144918,0.0,6443.512305462112,10000.0,0.625,0.375,0.0
