cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95
LHS#51,24,106.97455204916312,282.0418504206766,122.27066619100763,437.3559170583689,1.0,32436.73194996423,10.0,0.0,42,194039873.50588578,5937.005405755042,0.0,0.0,0.0
LHS#52,24,172.75948489996892,97.43831077252045,346.01990710776766,293.3762418906723,1.0,16492.985920646213,10.0,0.0,42,42779876.59783368,2387.1183618205678,0.0,0.0,0.0
LHS#53,24,232.23149692431994,247.595370227773,116.0096605428285,221.94180200960966,1.0,24970.126238432622,10.0,0.0,42,137180074.40458593,5462.966348797461,0.0,0.0,0.0
LHS#54,24,376.0433286871132,82.80171082126701,164.5859332892632,297.94932349693084,1.0,24268.55402541483,10.0,0.0,42,126962510.9729558,5180.089985764118,6.899708260385921,0.0,0.0
LHS#55,24,78.85029858348415,284.1703111110005,391.886963449439,313.67587487081414,1.0,3713.9546712748133,10.0,0.0,42,7155823.048275741,841.8871172525451,0.0,0.0,0.0
LHS#56,24,185.8844005851086,152.84007820057872,257.3714777538231,217.14159408814731,1.0,21459.22565796655,10.0,0.0,42,76446823.0431565,3469.076988741156,0.0,0.0,0.0
LHS#57,24,270.9791391524875,125.4461448030165,101.76561730358527,71.38531369451206,1.0,10054.587164254515,10.0,0.0,42,65688976.084457114,6503.817349680239,0.0,0.0,0.0
LHS#58,24,309.8783331353203,70.36240680510217,104.76684653192295,338.5725174441334,1.0,25667.462489006055,10.0,0.0,42,171787709.003107,6655.859413253265,0.0,0.0,0.0
LHS#59,24,310.7710203193796,183.8170721830274,120.83963700367912,388.00584116492576,1.0,21919.382302515827,10.0,0.0,42,121182301.93936256,5474.061754716388,0.0,0.0,0.0
LHS#60,24,266.2977430626363,131.6530415636003,368.78002051499186,75.95706159109075,1.0,9074.331917821128,10.0,0.0,42,18174546.687780432,1814.8806779869342,0.0,0.0,0.0
LHS#61,24,193.93956703595427,235.81416409632467,224.86831191089635,93.54785788405195,1.0,2490.2525631819317,10.0,0.0,42,9701765.45538295,3480.823309947668,0.0,0.0,0.0
LHS#62,24,176.53751143090398,42.43587942212768,281.9166277584941,230.5866187172277,1.0,12976.253086244593,10.0,0.0,42,51762218.52479716,3804.5682195285235,0.0,0.0,0.0
LHS#63,24,159.6830888902374,64.81878441807117,91.5716733312983,124.54227335145201,1.0,23423.93858509997,10.0,0.0,42,189278545.4433246,8064.579371903583,0.0,0.0,0.0
LHS#64,24,103.71590340276595,272.1108966133428,64.94363581965601,115.97055436622115,1.0,13491.794413664404,10.0,0.0,42,100326445.08019659,7418.95945894741,0.0,0.0,0.0
LHS#65,24,278.7083802472188,59.24455028194277,182.68422715631218,439.0317852490666,1.0,17247.481726072045,10.0,0.0,42,92878508.68736151,5257.948590875437,0.0,0.0,0.0
LHS#66,24,325.7540922249303,298.00082893296513,119.36401357448366,154.91544773036702,1.0,16987.532284230765,10.0,0.0,42,79393395.61172846,4642.566536148568,25.774661618553978,0.0,0.0
LHS#67,24,379.83211488433744,158.27685443594982,318.96179115517975,226.65245123217593,1.0,8328.798127781109,10.0,0.0,42,21488745.003243987,2331.5384268611647,35.10389421203064,0.0,0.0
LHS#68,24,320.3804990795534,188.2481284751746,395.31068591841074,210.6363800089808,1.0,16701.31742776766,10.0,0.0,42,22536903.43463995,1191.4236565683095,0.0,0.0,0.0
LHS#69,24,292.16655839628976,57.15236740368975,359.89464661043064,215.82618205236508,1.0,28708.75928053579,10.0,0.0,42,70064556.34806213,2348.726168744081,0.0,0.0,0.0
LHS#70,24,234.18662811592705,74.98939145500017,275.1019431791286,467.9158193922153,1.0,12411.383727167073,10.0,0.0,42,48088114.013848,3584.03784519485,0.0,0.0,0.0
LHS#71,24,165.73351005617496,129.34437522723837,55.4497776889976,435.92142840021603,1.0,35308.63135866685,10.0,0.0,42,295639495.47318643,8355.534215730773,0.0,0.0,0.0
LHS#72,24,235.01376603313216,239.2157149202336,266.4942894500674,50.39253863579532,1.0,12718.734649697397,10.0,0.0,42,35320236.98533249,2701.325621406625,0.0,0.0,0.0
LHS#73,24,332.27059885318926,151.85918694919928,311.3397320818304,92.88294847862736,1.0,4182.999433279512,10.0,0.0,42,11755415.579597304,2487.49872942601,0.0,0.0,0.0
LHS#74,24,184.23868112611282,240.06489518870555,232.19467946398578,477.4122641794219,1.0,21078.147339757703,10.0,0.0,42,73572963.59879272,3342.4273515926307,0.0,0.0,0.0
LHS#75,24,210.89498253025278,256.21051108430515,97.61091570735005,418.4583970003572,1.0,27144.21540834092,10.0,0.0,42,162920016.45309675,5961.68917585987,0.0,0.0,0.0
LHS#76,24,94.8460240271713,210.5805686128927,191.91783627359985,445.12349330765534,1.0,35526.78207331591,10.0,0.0,42,178139132.8889054,4944.0698499183945,0.0,0.0,0.0
LHS#77,24,359.826791290657,189.57808500733938,236.30583178197094,367.4448847625865,1.0,20933.075002118516,10.0,0.0,42,72380645.24202392,3357.2915570285195,25.000697242923195,0.0,0.0
LHS#78,24,287.8940071256036,76.06553824648763,256.3603975835754,234.9673376164855,1.0,29186.385489702592,10.0,0.0,42,113371218.01610433,3819.0420641711626,0.0,0.0,0.0
LHS#79,24,315.59973686117286,135.25280369683236,127.5058673189362,309.12409017489216,1.0,12551.717474746554,10.0,0.0,42,72226608.58490236,5670.364584908522,0.0,0.0,0.0
LHS#80,24,274.3861699492062,285.6753227492116,113.0516450452404,280.30478425396683,1.0,22664.497906382272,10.0,0.0,42,115126367.08688356,5041.988564882226,0.0,0.0,0.0
LHS#81,24,290.85741697361004,310.7605691071915,66.56816966650567,396.89249801740397,1.0,32687.600924444097,10.0,0.0,42,188427458.21765077,5744.629109545214,0.0,0.0,0.0
LHS#82,24,113.96897249925928,119.72140396120172,217.0083899704828,382.63151503093445,1.0,13833.003466089702,10.0,0.0,42,70969970.54375233,4945.566379633683,0.0,0.0,0.0
LHS#83,24,189.48549577121182,251.8637126272948,131.35504778509886,491.98933071703243,1.0,29677.796485289586,10.0,0.0,42,160655430.75259024,5354.208713044398,0.0,0.0,0.0
LHS#84,24,212.3885073780467,267.12558133565847,378.697575127854,370.95862247751825,1.0,15193.173598719157,10.0,0.0,42,19446023.048299402,1026.7489452245043,0.0,0.0,0.0
LHS#85,24,90.85069296508077,194.76166000508286,239.65210751484412,283.7429386679911,1.0,25094.015956612806,10.0,0.0,42,101879741.6347355,3967.6105930684485,0.0,0.0,0.0
LHS#86,24,396.0293056068469,314.2080339303261,375.09619785270286,427.6094963424906,1.0,8467.76230746971,10.0,0.0,42,10801211.762176614,870.793255962632,179.90190495659112,0.0,0.0
LHS#87,24,256.0441514139975,67.1253269451111,348.15253440399323,480.75393102263354,1.0,16278.00822449571,10.0,0.0,42,44669150.66705637,2467.475501669752,0.0,0.0,0.0
LHS#88,24,116.55820622115093,89.91650101101891,231.69286003770938,457.0868302895729,1.0,4338.471020816207,10.0,0.0,42,24092079.892403703,4818.7969207346305,0.0,0.0,0.0
LHS#89,24,171.00116134989642,240.97359645427036,358.34146185566044,131.6722956854267,1.0,34840.062996727,10.0,0.0,42,50877676.51043677,1398.7419502157722,0.0,0.0,0.0
LHS#90,24,105.26759111908231,98.83609642051647,65.4937404435672,407.3913463385574,1.0,29610.881419847894,10.0,0.0,42,261828054.58556357,8818.927735659152,0.0,0.0,0.0
LHS#91,24,222.36643694270293,158.62182435106206,381.4380972612832,171.13284288667018,1.0,37257.020503639615,10.0,0.0,42,58466041.48253835,1500.4355644235548,0.0,0.0,0.0
LHS#92,24,200.06162617224985,221.96089494437834,386.4199473507836,415.9086223095054,1.0,5610.476975951236,10.0,0.0,42,10827140.43795491,1144.4366176301974,0.0,0.0,0.0
LHS#93,24,155.24079263548617,40.35484935268498,258.2932807482541,451.3700890849081,1.0,3386.665549749895,10.0,0.0,42,18343077.352092974,4368.18349183899,0.0,0.0,0.0
LHS#94,24,350.99078774079,86.20121585349774,335.04999715808225,105.47164881714353,1.0,37837.900621015164,10.0,0.0,42,96838377.34292549,2517.551532173112,0.0,0.0,0.0
LHS#95,24,192.31514384114917,55.138816408134886,381.274166824365,341.68174042418497,1.0,9707.807705169977,10.0,0.0,42,24419648.89439649,2090.1981921664174,0.0,0.0,0.0
LHS#96,24,247.2459177720544,88.71470313860193,341.9946199571554,260.8376162227534,1.0,20483.92217457876,10.0,0.0,42,52803491.00638122,2436.1582583862837,0.0,0.0,0.0
LHS#97,24,59.32430243440222,159.56406637398948,389.6530597500902,246.1851853218194,1.0,10319.885771555486,10.0,0.0,42,19058921.188769955,1481.656004987224,0.0,0.0,0.0
LHS#98,24,299.1958645172558,172.89992055618916,297.6431712242065,111.21021333829927,1.0,19350.204763968162,10.0,0.0,42,51164589.55622704,2570.8478284713165,0.0,0.0,0.0
LHS#99,24,51.139483061147835,268.33498081844357,103.29661163141768,475.2243447705735,1.0,11223.269311987175,10.0,0.0,42,79015398.76555115,6923.937827362732,0.0,0.0,0.0
LHS#100,24,117.96540749047992,62.56384199796314,82.43112122159026,116.98336138435884,1.0,12385.272107613608,10.0,0.0,42,107017529.47049528,8615.439063023423,0.0,0.0,0.0
LHS#101,24,136.20440096753106,276.2271674047613,335.9632027518757,189.23927248019177,1.0,33853.01085098031,10.0,0.0,42,54112220.14047371,1525.616465295317,0.0,0.0,0.0
LHS#102,24,218.7383709675827,199.14067736609238,126.08561474243375,186.31311383693114,1.0,25738.291310199213,10.0,0.0,42,147505327.98433775,5701.806680360158,0.0,0.0,0.0
LHS#103,24,200.63555184658048,279.2482354533206,301.79261651230627,241.21252233312558,1.0,20120.89792075008,10.0,0.0,42,41793120.05125515,1959.8180696030504,0.0,0.0,0.0
LHS#104,24,154.21271957810313,302.12091678811504,155.11301761339408,255.5646420674424,1.0,11491.853384174065,10.0,0.0,42,54674128.068905324,4650.475957863191,0.0,0.0,0.0
LHS#105,24,79.28624315718558,123.83282516428667,295.5262108517368,384.85771110947115,1.0,19141.56028571912,10.0,0.0,42,67614031.23355119,3336.6797135117786,0.0,0.0,0.0
LHS#106,24,180.13899769360393,171.59226667246807,172.0666694555755,148.24784565226545,1.0,32832.753683256626,10.0,0.0,42,168833365.79410538,5112.867714191598,0.0,0.0,0.0
LHS#107,24,276.2692047962365,219.62898656879926,372.58201865997785,67.61950670485548,1.0,31037.656710487325,10.0,0.0,42,41967681.397375874,1301.2242816314238,0.0,0.0,0.0
LHS#108,24,69.99261130697268,310.6326164102984,305.348700491384,251.8850769999228,1.0,38439.57073976,10.0,0.0,42,75208858.80561139,1883.443083742627,0.0,0.0,0.0
LHS#109,24,171.4002247451367,257.3347203616566,165.8149848347419,173.19804240885065,1.0,20626.180115433915,10.0,0.0,42,96890521.79536578,4648.628184769443,0.0,0.0,0.0
LHS#110,24,162.49682502380597,118.96836618720064,393.6230428230911,303.6861680872664,1.0,13984.988778327126,10.0,0.0,42,25885397.635492057,1567.1752655906741,0.0,0.0,0.0
LHS#111,24,366.5622740599001,225.1252933421169,288.7979073896066,371.9352337852544,1.0,36299.15587151083,10.0,0.0,42,89075890.57312411,2383.6470975331504,44.46740754332444,0.0,0.0
LHS#112,24,84.03611047897701,160.86693572705417,92.66338303339234,80.26226967668762,1.0,3816.4943462804704,10.0,0.0,42,30111461.967592254,7816.054281198046,0.0,0.0,0.0
LHS#113,24,285.59612529482484,296.73491275766025,221.26386465422016,276.00337684305146,1.0,23740.179003762118,10.0,0.0,42,73195183.37766244,3013.1312482798394,0.0,0.0,0.0
LHS#114,24,58.001572176992724,133.38046354105114,140.91088573201097,327.3497271332954,1.0,15088.516422813975,10.0,0.0,42,108163397.3605847,7079.4286512220515,0.0,0.0,0.0
LHS#115,24,397.3086582525793,259.24662527753685,185.24744011493507,242.42862234918113,1.0,14658.448933517238,10.0,0.0,42,55349193.72768305,3701.11131833765,138.06985595073428,0.0,0.0
LHS#116,24,126.2446268613665,224.1467656846784,73.12744064358577,227.17490136098493,1.0,3119.9503966098982,10.0,0.0,42,23700113.33774565,7447.950657591955,0.0,0.0,0.0
LHS#117,24,54.269853405952674,87.37165794672563,187.91848829956,495.5244174320339,1.0,28906.33134525792,10.0,0.0,42,186432408.11820915,6357.562598924384,0.0,0.0,0.0
LHS#118,24,220.7106093359803,179.98966760533844,86.23549677394226,101.95105757308423,1.0,14855.285349439397,10.0,0.0,42,101135232.96901833,6787.81919457796,0.0,0.0,0.0
LHS#119,24,362.1385756764431,69.79810532100302,242.9307069365228,177.6949178492988,1.0,2160.062308541512,10.0,0.0,42,9992243.88363619,3992.399172004817,0.0,0.0,0.0
LHS#120,24,131.9479261319603,289.1220274790991,192.98767648733394,379.8044811640771,1.0,33788.15835574483,10.0,0.0,42,138856190.09789374,4045.1635257531616,0.0,0.0,0.0
LHS#121,24,222.93230667134569,215.50051140195626,164.0669334317239,126.29694719259435,1.0,25892.15429670282,10.0,0.0,42,123216476.94769524,4728.368841191377,0.0,0.0,0.0
LHS#122,24,302.9030728478409,207.71436685538967,136.6355693682125,88.5365810919241,1.0,11510.654205128398,10.0,0.0,42,58217570.4361256,5017.594299937246,0.0,0.0,0.0
LHS#123,24,128.71835248914152,137.97684790764316,79.62480559112109,453.81539507729053,1.0,22449.272402889328,10.0,0.0,42,180133831.02183235,7982.018632381587,0.0,0.0,0.0
LHS#124,24,317.4042564466266,47.728982112101484,296.5487789191084,52.94611886776757,1.0,32353.222202727633,10.0,0.0,42,108525108.51737383,3319.9774403263254,0.0,0.0,0.0
LHS#125,24,201.89822803776815,170.1163334579936,60.34727342971293,277.3405820469284,1.0,28158.5625417571,10.0,0.0,42,215335879.97123,7631.44411868069,0.0,0.0,0.0
LHS#126,24,313.7286534509292,213.09918709588436,328.9388327998909,290.7619660575094,1.0,18890.257222588793,10.0,0.0,42,38588355.15756146,1903.7763455344698,0.0,0.0,0.0
