cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
SWEEP pi_u=2000,24,100.0,80.0,150.0,200.0,1.0,2000,10.0,0.0,42,14960356.854297468,6985.178427148734,0.0,1999.9999996895592,2000.0,1.0,0.0,0.0
SWEEP pi_u=5000,24,100.0,80.0,150.0,200.0,1.0,5000,10.0,0.0,42,35915892.13574368,6985.178427148734,0.0,4999.999999689559,5000.0,1.0,0.0,0.0
SWEEP pi_u=10000,24,100.0,80.0,150.0,200.0,1.0,10000,10.0,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP pi_u=20000,24,100.0,80.0,150.0,200.0,1.0,20000,10.0,0.0,42,140693568.5429747,6985.178427148734,0.0,19999.999998758238,20000.0,1.0,0.0,0.0
SWEEP pi_u=40000,24,100.0,80.0,150.0,200.0,1.0,40000,10.0,0.0,42,280397137.0859494,6985.178427148734,0.0,39999.999997516476,40000.0,1.0,0.0,0.0
