K_n,custo_total,dC_dK_n,MV_K_n
0,105851784.27148734,-234599.9999999997,234599.9999999997
50,94121784.27148736,-233999.99999999985,233999.99999999985
100,82451784.27148736,-232800.0,232800.0
150,70841784.27148736,-231000.0000000001,231000.0000000001
250,47801784.27148734,-200036.52456964974,200036.52456964974
400,20832653.12907492,-179794.2076160828,179794.2076160828
