cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
MC#36,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8582912,69328761.17440417,6833.876117440417,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#37,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8276311,70958047.14996757,6996.804714996756,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#38,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,2767596,70564244.54124431,6957.42445412443,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#39,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6316643,69673331.89740372,6868.333189740371,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#40,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1652290,71935460.6813386,7094.546068133859,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#41,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7580877,71485862.8558422,7049.586285584221,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#42,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7005229,71077005.51336545,7008.700551336544,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#43,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3545259,71108526.10252811,7011.852610252812,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#44,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,679200,70454662.22048259,6946.466222048259,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#45,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,9706980,71205062.3809857,7021.506238098571,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#46,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4456874,69662776.40865062,6867.2776408650625,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
MC#47,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8931211,71329634.14383104,7033.9634143831045,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#48,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6779190,71456974.49678618,7046.697449678617,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#49,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7783834,71313420.39737701,7032.342039737701,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#50,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7598994,71981788.19007796,7099.178819007795,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#51,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1946387,70730994.90587229,6974.0994905872285,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#52,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3639060,70262381.93841115,6927.2381938411145,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#53,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4667210,71565571.47275582,7057.557147275583,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#54,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4977915,69485991.24135701,6849.5991241357015,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
MC#55,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,438037,70315328.08240873,6932.532808240872,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#56,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,5465695,71592805.45343849,7060.280545343849,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
MC#57,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1542894,70657235.91131458,6966.7235911314565,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
MC#58,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7433759,70017818.8467318,6902.78188467318,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#59,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6830489,70571788.1207901,6958.178812079011,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#60,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,9225278,70114832.50313613,6912.483250313613,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#61,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7447621,69968592.44955981,6897.859244955982,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#62,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3666426,71357159.56684378,7036.715956684377,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#63,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,9675097,71608281.00360394,7061.828100360395,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#64,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4108503,70140449.9488328,6915.044994883279,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#65,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3258253,70365078.24902995,6937.507824902995,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#66,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,9055357,70627115.06517258,6963.711506517257,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#67,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3704597,71842409.87901662,7085.240987901661,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#68,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,763431,70323285.85503374,6933.328585503374,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
