cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
SWEEP c1=50,24,100.0,80.0,150.0,50,1.0,10000.0,10.0,0.0,42,70301784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP c1=100,24,100.0,80.0,150.0,100,1.0,10000.0,10.0,0.0,42,70481784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP c1=200,24,100.0,80.0,150.0,200,1.0,10000.0,10.0,0.0,42,70841784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP c1=300,24,100.0,80.0,150.0,300,1.0,10000.0,10.0,0.0,42,71201784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
SWEEP c1=500,24,100.0,80.0,150.0,500,1.0,10000.0,10.0,0.0,42,71921784.27148736,6985.178427148734,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
